# General
## Title
### Hydropower Inflow (Reservoir); data for ENTSO-E PECD Version 4.2; file version fv1
## Abstract
### ERA5
## Date
### 2025-06-17
## Date type
### Publication: Date identifies when the data was issued
## Unit
### MWh
## URL
### https://cds.climate.copernicus.eu/
## Data format
### CSV
## Keywords
### ERA5 : reanalysis : Copernicus : C3S : C3S Energy : ICS
## Point of contact
### Individual name
#### Alberto Troccoli
### Electronic mail address
#### info@inclimateservice.com
### Organisation name
#### Inside Climate Service
### Role
#### Owner: Party that owns the resource
# Usage
## Access constraints
### Intellectual property rights: The IP of these data belongs to the EU Copernicus programme
## Use constraints
### Creative Commons
## Citation(s)
### Hersbach, H.; Bell, B.; Berrisford, P.; Hirahara, S.; Horanyi, A.; Munoz-Sabater, J.; Nicolas, J.; Peubey, C.; Radu, R.; Schepers, D.; et al. The ERA5 global reanalysis. Q. J. Roy. Meteor. Soc. 2020, 146, 1999-2049, doi:10.1002/qj.3803
## Temporal extent
## Begin date
### 2024-01-01-0000
## End date
### 2024-12-23-0000
## Temporal resolution
### 7 days
## Geographic bounding box
### westBoundLongitude -31.00
### eastBoundLongitude 45.00
### southBoundLatitude 18.00
### northBoundLatitude 75.00
## Spatial resolution
### Pan-European Bidding Zones Onshore
# Lineage Statement
## Original Data Source
## Statement
### The original data sources are ECMWF ERA5 Reanalysis (available at: https://cds.climate.copernicus.eu)
#
Date,AL00,AT00,BA00,BG00,CH00,CZ00,DE00,ES00,FI00,FR00,GR00,HR00,ITCA,ITCN,ITCS,ITN1,ITS1,ITSA,ITSI,ME00,MK00,NOM1,NON1,NOS1,NOS2,NOS3,PL00,PT00,RO00,RS00,SE01,SE02,SE03,SE04,SK00,TR00
2024-01-01,163779.43596586632,13530.044043110967,117306.3152622784,56520.46179652432,0.0,24802.59408811631,5953.060231445173,399558.6191410553,173580.13766674162,375900.26260020025,74414.12142218064,155165.940450376,12701.619517467949,12184.248949617364,35717.50112570018,243607.52041544951,3533.8093084214697,1377.1578344783522,466.82408824093545,22507.16638398644,24225.461636019787,27231.226291027902,99555.04010817896,104533.53619521126,142842.2052285418,0.0,1990.3954842321973,194683.1742824397,67863.5057111509,32328.70695140632,51312.68781235762,186977.23714705784,147735.70532779224,36686.923676050304,1565.6509392716794,935798.9776770602
2024-01-08,144975.213403723,10159.653995588866,107328.1629763404,42304.79352345148,0.0,24541.75841841847,7677.036840311056,409451.4033256177,156955.22953713988,390342.2375762869,78515.7012479516,101137.70431961998,13896.950381802517,11870.964832887788,35719.628860918696,227837.59690835315,3687.527478263463,1848.9060330754792,419.7410318545754,17562.331580116264,20334.80205773672,76212.22885598894,181045.85418510064,99721.68137181106,85563.04335259387,0.0,1418.3518354832163,229840.2398534732,73261.85741887873,30893.49106078872,55964.3279646954,161779.6626498027,140270.2695617435,34301.260887294,1380.537008494506,1013791.5030300738
2024-01-15,201567.16357165133,7229.536984404864,124944.03560153289,40880.70855958576,1959.7124023290296,27604.99068753705,7580.5121754963,514623.4618680164,144022.31956533084,375614.5592371573,83407.15140664559,182327.9544964521,16270.681377657782,11807.178458655952,36983.18472416647,220596.29521009585,3933.505874584034,2392.1903849978794,507.7936498887332,34784.75899949086,26065.553788363577,29662.57055768513,129768.78061736378,98226.83317520971,119701.52765027368,0.0,1100.0392103546596,387405.0927914623,71869.62662743442,32307.472663617817,41101.08340032211,148500.2120414776,139650.5683222562,33219.92370120837,1396.2867418140163,1153475.5950502537
2024-01-22,195287.09843327853,6890.257340458684,112530.55574190844,37950.35652447424,6733.695258811237,25699.96401284149,6476.913856169397,504312.3210619123,131178.08341813565,358724.97852948547,77488.71439518893,127972.84511168228,16807.60655249279,14830.194981021688,35589.67648137032,195859.26154583177,4264.835546683213,2126.782846211268,486.7800664894569,26783.99730394535,22543.52994119709,74034.72967832693,137704.36504911786,113626.94860560722,508559.379124296,96345.30400078151,1094.1236503939272,356754.1441969024,68901.97235854303,32630.3265840602,47937.370533879126,151065.07656399283,147386.7028168948,40932.512772180926,1516.2603984538837,1266700.7875295065
2024-01-29,141515.47735174384,5701.136451954581,102866.38974026976,28977.528489521334,22795.600032532424,25023.412208286,7038.320341030859,485806.05666619656,132431.95782588076,259996.24237361707,65050.52352752684,65274.10374132252,17358.811628389856,16190.482327133514,35828.00158177435,181505.10944819663,5009.492618099335,1964.961650606296,505.5545068788906,19046.99912571103,21353.26496270184,126031.00572934515,256290.4380367467,113920.96014808051,426363.6698676556,82841.53967681156,1053.0629970360285,261053.29622718785,70053.12287020295,29020.64207490752,52578.2864934348,152817.52082318577,156275.76449728216,41984.75942626876,1475.7057258084733,1222970.7086924145
2024-02-05,158987.61521975356,8504.977556675636,111973.6571931192,27611.62195680199,25538.28057344249,21978.108176561047,6056.571236343562,546036.3788494477,114781.56433948236,352996.748862939,64172.65508374083,90224.78048604909,18138.99136062111,19581.14510734796,40437.96134197672,180598.32366128464,5187.612612022757,2442.1456611992053,491.0082094067074,27920.971526736976,25683.232346953508,44815.574687533306,182705.94383257048,100171.34892075356,158338.4598525104,0.0,1611.1886243282236,322871.7209014391,70243.45896685963,24819.12514139476,41342.61080710809,134075.40105834272,137842.574694843,39831.32747179104,1559.728462363288,1191270.0215105957
2024-02-12,162727.0313116589,9053.14152854132,108982.84492791528,30727.279412656568,78294.7101347807,20577.085393836493,5947.3695995928,494780.87320443866,112921.06461889144,355206.7839206111,61634.427799180776,82197.95344436255,19136.553330738,16940.15813985424,36986.7980555694,172889.0225809358,5391.645692213762,2254.1580388558914,502.3190128581156,25400.447339072925,25105.13569544109,36713.26591128844,117937.9527342936,114544.98401101878,186694.9842942918,0.0,1271.583858692067,270818.26321699395,68500.01356223908,22554.12061853872,39233.01171836894,148222.4529300957,146644.50396846133,41780.65770632883,1506.6553736139902,1354566.3545718784
2024-02-19,166658.93892564534,11945.746976794517,121240.60607349446,32980.565650395954,93559.96269171748,18640.155021132607,6043.880125631218,458450.117418184,105578.62791075023,375685.9599112475,62853.389320023416,89244.36402317908,20147.64174811644,18581.547175976582,41443.01188829817,177144.2918176878,5592.153040160702,2447.5019696111526,367.3292791662777,31721.50009042476,26110.045619016902,50414.17191409042,113909.15139810556,115133.04167465454,379461.44253181433,0.0,1369.3103938850634,301648.2655306938,68502.7735782985,21532.12846204731,45207.726323667,157199.90105221013,164030.65089188557,40128.1290225313,1564.0901520905409,1267328.7739719937
2024-02-26,156449.4888674073,10562.303015134985,109910.5633133164,35755.17940991991,122041.08736101566,17806.33088293071,6140.902139334251,507979.6983713668,146776.4480187597,427592.4368518361,80128.21144625099,71722.45388116669,20444.843532161,24290.19594611802,51738.42712930153,228352.26422664247,6051.087186832368,4776.365039054041,415.5317388357842,27886.04305483629,28787.100571653376,53678.77563331689,116045.53022476596,117061.8616628604,414571.741033057,0.0,1188.4597447215328,301666.9397360203,72431.36897114897,20594.973588861,41234.82276597925,179771.80294864642,205971.03690852405,38279.23143910691,1564.788406761474,1188767.0724968289
2024-03-04,153616.31696171593,9353.401576824592,115233.85616090156,35112.59183179738,143869.66127435453,16583.696266907984,5772.176374373596,647012.6380156328,143799.9169267773,467223.1418639408,87543.18769335008,92950.42387329414,20390.06944624644,24539.610714779166,55774.09416372396,263420.0746861469,6589.673481136093,5784.300907240503,534.9781252137801,25146.001404693085,33230.38879346603,28891.153664239075,116979.87144907056,101316.30108988416,212259.26489348063,0.0,1017.2950977821404,382492.3141398609,73046.24223054851,20000.45272567659,39880.00771059495,173237.7910594406,179665.49364008903,35871.94824370428,1500.8811572726624,1308023.1903905948
