# General
## Title
### Hydropower Inflow (Run Of River); data for ENTSO-E PECD Version 4.2; file version fv1
## Abstract
### ERA5
## Date
### 2025-06-17
## Date type
### Publication: Date identifies when the data was issued
## Unit
### MWh
## URL
### https://cds.climate.copernicus.eu/
## Data format
### CSV
## Keywords
### ERA5 : reanalysis : Copernicus : C3S : C3S Energy : ICS
## Point of contact
### Individual name
#### Alberto Troccoli
### Electronic mail address
#### info@inclimateservice.com
### Organisation name
#### Inside Climate Service
### Role
#### Owner: Party that owns the resource
# Usage
## Access constraints
### Intellectual property rights: The IP of these data belongs to the EU Copernicus programme
## Use constraints
### Creative Commons
## Citation(s)
### Hersbach, H.; Bell, B.; Berrisford, P.; Hirahara, S.; Horanyi, A.; Munoz-Sabater, J.; Nicolas, J.; Peubey, C.; Radu, R.; Schepers, D.; et al. The ERA5 global reanalysis. Q. J. Roy. Meteor. Soc. 2020, 146, 1999-2049, doi:10.1002/qj.3803
## Temporal extent
## Begin date
### 2024-01-01-0000
## End date
### 2024-12-23-0000
## Temporal resolution
### 7 days
## Geographic bounding box
### westBoundLongitude -31.00
### eastBoundLongitude 45.00
### southBoundLatitude 18.00
### northBoundLatitude 75.00
## Spatial resolution
### Pan-European Bidding Zones Onshore
# Lineage Statement
## Original Data Source
## Statement
### The original data sources are ECMWF ERA5 Reanalysis (available at: https://cds.climate.copernicus.eu)
#
Date,AL00,AT00,BA00,BE00,BG00,CH00,CZ00,DE00,ES00,FI00,FR00,GR00,HR00,HU00,IE00,ITCA,ITCN,ITCS,ITN1,ITSA,ITSI,LT00,LU00,ME00,NL00,NOM1,NON1,NOS1,NOS2,NOS3,PL00,PT00,RO00,RS00,SI00,SK00,TR00,UK00
2024-01-01,30828.20719561261,411086.84583616495,1506.7212529693093,6803.473249088418,25672.97188438936,273918.7735858167,20326.02301561626,352162.20380450966,99635.38726028617,301833.4216876661,956971.7983279644,1271.4470138695756,40496.44637916333,2958.885585778944,11505.65801215083,2343.1268796764443,6864.705078270993,26973.78315392796,278347.9126046088,236.4054340393793,1043.8731739492791,9327.444447824077,3548.753843930638,2677.1064870974287,3024.100278630672,26004.093680834983,23808.467394011856,191590.6260723585,113862.97043981188,9160.678081079592,58656.944976784114,5157.656661902877,227905.1261376329,189145.7210055086,59972.65983195706,77214.49456947598,167077.79258883835,108615.68877613956
2024-01-08,23402.041612203084,368887.2489805559,1290.7857039947355,7213.518322023317,24581.89962083971,265223.63085320074,17992.822257900596,346992.936649102,98842.52797628612,296413.1200314994,872175.4948728454,1276.7012323630263,31684.0415656938,3186.266298250689,10082.333339227172,2531.890072153245,5923.954827805651,26821.575716704487,258632.5634792289,227.0144050554277,1174.1650277741926,7812.59495511111,3597.8374449490784,2538.315305554728,3294.2765774125514,36779.46782335684,23930.131849018453,191073.33894211976,111281.92444484297,9057.616870396636,54220.89386025043,6513.395234367154,206994.64700019185,190100.3855080245,47559.80943219981,77497.95886244255,181754.1045020124,92561.38318647273
2024-01-15,39049.2547370807,348759.7115635516,1466.5498218415205,7177.322544635126,24898.78462433794,263849.16357271647,18004.418507565322,325197.6831342936,134278.2683065994,293335.59529251687,938302.7123536768,1273.4808946690937,33748.095871022866,3592.837330235398,10607.42837755,2536.871161755977,6640.182513172332,29148.285576053888,250836.5082745044,224.5012848044337,1285.451890355877,8319.39009200397,3229.3728537021766,2908.1504838436867,3280.993260701787,27126.7584696512,24323.275019726683,169012.90799033074,112675.6500429155,9047.727811597824,53412.48100616703,11201.243637034377,208687.8771204716,190143.90032735508,48512.15870748298,75245.94106836843,208225.93497968145,93962.47911664793
2024-01-22,35591.889949042714,359265.4262724215,1378.1106682057257,6995.289314137048,23331.98105961538,264713.15442523075,18704.070207865563,324492.6714227624,111741.43194795678,279800.4522811298,891605.7889991124,1347.7630221396175,32303.43351131221,3677.985503913269,10091.422719978473,2401.021095625984,5816.089250576228,27310.59708335305,231723.9325980796,234.81359318289992,1424.3449359901374,11485.973461707676,3278.872323837052,2287.4317165462376,3261.357374910829,37041.43879929579,23496.646640946325,167424.69105769906,118144.97102624958,14745.796427732408,55113.99270183534,10081.800685022194,205299.9548249677,187290.3606556879,39128.20223560776,81933.02003745097,226745.8319872944,92764.3214753354
2024-01-29,30607.151612136484,350526.81658143614,1224.6800989834867,6678.428048382165,21516.130380993483,262964.82447061845,19002.70959695486,316759.84987173224,104631.94232093549,268895.02994498657,816213.8648146801,1365.9915646526963,29236.98616609513,4076.034719449191,9225.618090688547,2374.7150145238897,5043.437439663056,25841.152803139845,207305.50760652407,336.0528674011416,1521.8706426983003,14301.101444160056,3479.7785707404378,1868.950537181708,3080.8492972475,47548.7221602951,32129.497877721824,166843.95305658772,123633.3672462572,15153.282325900274,56914.86110796648,7175.572059675656,200382.7293576108,174520.00787637237,34808.335108641244,84436.85573839223,234966.2433559009,92817.2906894505
2024-02-05,36862.4500332139,345499.2181539698,1480.6586623496992,7131.054316683996,21535.04904107693,261773.3053610745,20285.729157310416,342652.99946985045,112424.36949878064,277763.57703371777,934225.7819931773,1398.3089717585424,32383.93979701412,4416.408750630038,10408.864516341087,2427.91712372311,5865.040323472539,30343.618096866936,223651.48189944628,225.61452620203852,1437.3950103171144,14642.269687088628,3621.9235039911937,2683.9356255179,3343.033751634023,29451.37387273641,24590.047635392595,167449.65229941614,117544.60517566728,11930.792102136058,58389.18270466272,8977.77102835532,220077.5341690176,164479.96345172857,45119.0869120076,85714.05917505865,249113.36051712907,94148.04880675265
2024-02-12,35559.88218213034,330154.49273919384,1392.3722962255044,7032.135738969219,21943.349429397607,260610.2478957493,20296.47585580848,342655.9003090204,123937.86689843371,269591.48011313204,900160.2428719203,1414.7171774188555,28416.72495751268,4810.305910320783,10323.122691939076,2380.500167779397,5339.039061272614,28310.028124035565,209516.0447085093,232.4783168054205,1466.736142152063,14512.230752321431,3617.126253784752,2456.716987431977,3381.5833924044578,26542.71653579813,25207.93877646265,167408.26099874434,114894.6458112992,10959.881535056456,57572.1163197456,7582.042184362358,222135.74042049,158077.27894231194,39378.01579418835,83705.77156748851,288011.41960365884,97083.97827000688
2024-02-19,37091.667055676255,345637.47335159493,1590.236134142168,6852.47345854113,21898.35551202253,262766.4813148142,21067.94201676332,346884.63833863346,120451.57296379136,260922.45397885225,1034684.245168977,1455.0500317440926,29404.54910406476,4910.324448495913,10594.509394144392,2485.5075121887094,5536.960468510294,30086.66776502483,222646.69976232245,225.49897324392208,1711.4560184961977,15294.123835945764,3648.0851341866223,2539.983210391661,3296.6971092765834,31073.061465459443,26250.44316294129,166273.38705606686,120054.51447916849,13923.568705575875,57521.6519361112,7982.438776474863,222355.05478520165,153191.06216585427,45225.88940402902,82852.99768512214,274704.8157137056,94642.25186444768
2024-02-26,35389.436035963896,328128.7230219538,1439.9991095591822,6800.3963163487015,22970.90030160973,264616.7589637255,20692.490049211723,322801.1901273872,125780.52633541996,249823.3136632652,1078960.7033534215,2010.142766694968,27390.66245443012,4880.146549049707,11003.715670215332,2791.7898057161137,8907.20085162136,35099.86447664885,272083.4679548658,579.6368932056424,1747.926221099425,14768.144610853176,3587.529857555738,2447.566933181421,3206.1684639619266,36383.8885544936,23757.512588804555,172392.7632345897,123442.0547980585,14795.734750892818,56808.07335099922,8018.418843363538,213348.77902869988,136746.31055548738,44676.89988297279,80362.36557238085,279755.3161287904,90695.83442956075
2024-03-04,34010.428974654795,321354.2389646464,1563.2798906433018,6671.45608071111,22566.96543727429,259997.5784643351,21181.571858546016,316978.6039845291,135070.10562452616,241854.45870068023,1104020.5586036583,2002.2631356416364,29110.8595841737,4809.228949780958,10043.400389723198,2761.181228531485,9622.721966619543,39274.94946238923,302962.1817495487,776.1496256691253,1803.643182320023,14143.36120091535,3333.439886457476,2602.6553668687275,2985.366705544656,31369.380892605623,24760.321665690604,170927.8702591014,119182.23216492332,11347.062736549497,55139.48837393187,10539.204220191785,210300.45169872444,138317.00701972056,50632.206824745306,78156.5471024426,309035.89218311606,90956.91098746283
