# General
## Title
### Hydropower Generation (Pondage); data for ENTSO-E PECD Version 4.2; file version fv1
## Abstract
### ERA5
## Date
### 2025-06-17
## Date type
### Publication: Date identifies when the data was issued
## Unit
### MWh
## URL
### https://cds.climate.copernicus.eu/
## Data format
### CSV
## Keywords
### ERA5 : reanalysis : Copernicus : C3S : C3S Energy : ICS
## Point of contact
### Individual name
#### Alberto Troccoli
### Electronic mail address
#### info@inclimateservice.com
### Organisation name
#### Inside Climate Service
### Role
#### Owner: Party that owns the resource
# Usage
## Access constraints
### Intellectual property rights: The IP of these data belongs to the EU Copernicus programme
## Use constraints
### Creative Commons
## Citation(s)
### Hersbach, H.; Bell, B.; Berrisford, P.; Hirahara, S.; Horanyi, A.; Munoz-Sabater, J.; Nicolas, J.; Peubey, C.; Radu, R.; Schepers, D.; et al. The ERA5 global reanalysis. Q. J. Roy. Meteor. Soc. 2020, 146, 1999-2049, doi:10.1002/qj.3803
## Temporal extent
## Begin date
### 2024-01-01-0000
## End date
### 2024-12-23-0000
## Temporal resolution
### 7 days
## Geographic bounding box
### westBoundLongitude -31.00
### eastBoundLongitude 45.00
### southBoundLatitude 18.00
### northBoundLatitude 75.00
## Spatial resolution
### Pan-European Bidding Zones Onshore
# Lineage Statement
## Original Data Source
## Statement
### The original data sources are ECMWF ERA5 Reanalysis (available at: https://cds.climate.copernicus.eu)
#
Date,AT00,BA00,GR00,HR00,LV00,PT00,SI00,SK00
2024-01-01,75786.50210900248,13543.582444021617,1042.7405171084051,38194.47807830583,57394.28198312503,13443.697005294802,71113.32410631506,16676.42406464659
2024-01-08,63612.236255751,12609.891378333044,1109.444490118247,34321.89095849591,54124.500515233965,15387.040632144328,57563.68054100683,15040.35868791612
2024-01-15,60173.51660089663,13476.931668786418,1072.5574941879263,38377.122458722544,56213.26468151561,19681.69883860324,59910.94344945627,14456.61466430823
2024-01-22,66454.46130977315,12211.06858570116,1171.602912740003,36017.71068649821,63578.00206789312,18192.14023756382,52431.456285176486,14623.108491579764
2024-01-29,63467.26077512847,11261.04282095394,1171.115045615651,34450.472961926986,72090.09170410165,15537.427588074246,48254.200799829385,15661.307577263622
2024-02-05,67152.73861137695,11401.079333921138,1055.283995128775,36775.36161746934,66633.70782681897,18748.45255027333,58318.32219745996,18519.719249605983
2024-02-12,64394.635433468335,10844.911785295864,1019.1931894617315,35261.91269955335,66522.38419227216,18541.117272708118,45046.82608329311,18461.86246670205
2024-02-19,68179.9364910918,11803.905166370296,959.9009749977788,35587.39696799287,86105.24455795967,19111.305041706248,51610.4540110229,18751.05930228377
2024-02-26,67425.20876846937,10666.214668577346,1014.6819970642596,34470.719738448905,135770.6516580511,17971.662370675524,49288.15209791161,17890.410012121727
2024-03-04,66012.30005334836,11340.668328935017,1099.8835724066157,35846.80226281645,120505.3818213663,20672.969467122297,53282.77213969437,16902.02396033403
2024-03-11,69674.94847849067,13465.939037824184,1099.6721173972824,38845.47462547759,114851.51259904842,18830.837905009907,57235.50857447233,16777.16977271971
2024-03-18,75882.80476784192,12516.158677597256,1111.8475009875335,37349.90428951758,96292.83550054969,16689.57470575308,58142.07520577449,16089.621547878667
2024-03-25,93715.77030434526,10942.0459321922,1065.3489498563663,36550.11001343646,91141.02340544004,20697.202552953248,65742.28275895337,14871.173478044257
2024-04-01,103213.377269862,9655.549034600795,1026.495831669107,34624.38046615836,93846.11866386184,20439.754991448164,64887.82501015933,14527.248600305937
2024-04-08,110484.86612861248,8233.62960990623,887.7712502787645,30581.310740008,101214.94732232916,17979.055678928627,51695.89173720458,13566.365662864984
2024-04-15,93738.36747357734,8962.247004526302,1002.6009090383284,29954.99105896069,89744.21969414596,15951.674087759446,59326.96447490372,13582.222316609768
2024-04-22,81948.0325011594,9072.608667646226,942.4888806185982,29715.06385661623,78997.46119999484,14772.853743653855,65213.21755400171,13397.874225701937
2024-04-29,106856.6033900572,8143.146313894522,867.8875110177167,29655.93676906274,63543.65838688304,15400.702837251114,69710.93273825945,12010.514389688477
2024-05-06,110103.34997531,7299.641593870641,839.2031893450408,28782.7142591964,58140.31420284113,13307.963659105746,62324.15288970431,12060.36724572494
2024-05-13,113703.8021639099,6771.863471514943,814.5718503229605,29155.328534143635,49663.51316069946,12455.834190194417,75218.81006877209,11919.224139897036
2024-05-20,117978.4179681591,6559.0200290619005,849.5620199257525,29733.18627239197,34086.88158395615,11272.8671301431,77917.36595164545,12129.35006292258
2024-05-27,115882.32848936284,6101.780505950475,855.5780773074135,33493.36013857285,29727.73485127406,11649.207078895852,84576.47453187927,13538.109362353858
2024-06-03,117691.05769812247,5069.93017791116,1373.9097836941696,31276.26919642654,24786.3141364063,11759.499686126266,83980.39364731623,17236.322518793877
2024-06-10,115060.6703214344,5083.438566263524,1449.3101570164922,32406.75427424968,21690.03554173972,10957.312219269676,86512.89005171997,17285.658551450713
2024-06-17,112098.69533294423,3879.086467194597,1501.5606544237655,29816.4378574694,19462.271403206323,11103.256102667538,79136.25880021743,15336.024920020738
2024-06-24,99213.65974136324,3716.669183212061,1510.8459035635844,29130.845813603948,16090.114724491475,11283.476073672457,70777.95988568,14324.261046874117
2024-07-01,98526.2444051694,3583.2860610322914,1484.4093604300454,27769.42237499772,15364.192178367584,11290.316505791852,66159.0480571922,12876.311900702516
2024-07-08,102300.60464266264,3146.0136247311307,1389.831872304292,27072.053578258983,18183.528805663387,11152.04856306515,52622.44114986225,11955.955743948276
2024-07-15,88626.9434175265,2986.3911927599547,1370.156702582919,29495.536243836228,17643.843577013722,10513.770610401853,50859.95684084559,10906.682512893767
2024-07-22,77644.61000241847,2972.961928453516,1228.220647550334,28955.045775576065,22479.20812047768,10111.4698979589,51531.22875669252,10326.728958575648
2024-07-29,67818.55159637232,3046.8099281867867,1056.7845772113558,29210.670085420858,21773.61258615662,9613.490191242556,51911.83266594454,9754.786083078276
2024-08-05,61169.94716882634,3143.167068160621,1036.424872832628,26648.745207783955,22757.05282135324,9218.832287894931,50539.58927039275,9629.718936435393
2024-08-12,67675.09861011012,3173.6658908735803,1019.6967011514872,26707.756310191588,22786.43013920984,8890.495990339512,44234.55052296705,9547.11138979837
2024-08-19,65192.84997185981,3198.538199408894,1011.1161125540395,29911.89540998629,26957.240148478628,8709.931681685492,48332.003455220605,9256.875332715425
2024-08-26,57807.92770871201,3200.4677423303183,1017.4452679553352,29339.185775199017,21196.636488867065,8428.988227196953,43786.72969210969,8785.137313213834
2024-09-02,56777.78799051575,3193.675303481406,1004.15525819209,28822.979349595666,20708.536529535228,6585.856034433766,43289.750395890616,8268.345047719413
2024-09-09,105685.47332020808,3756.4720046667694,765.0563980818591,33356.721100099065,19613.439625291103,5869.578532197158,67649.84992929007,16101.646597827375
2024-09-16,100265.93606233007,4443.383854877823,641.398753773235,34476.66224418387,19192.230633738847,5461.428413715057,65857.97020114263,15029.642456285414
2024-09-23,99524.59865953494,5139.870154440031,624.4057949490125,35702.93922055755,18506.653392643308,5800.555169947437,70301.16608514398,14706.9177595744
2024-09-30,108444.07982790172,7193.786920369514,625.3008298326693,38768.41358926315,17082.456888381756,5679.415130383207,87797.0022336195,14965.230932066775
