# General
## Title
### Hydropower Inflow (Pondage); data for ENTSO-E PECD Version 4.2; file version fv1
## Abstract
### ERA5
## Date
### 2025-06-17
## Date type
### Publication: Date identifies when the data was issued
## Unit
### MWh
## URL
### https://cds.climate.copernicus.eu/
## Data format
### CSV
## Keywords
### ERA5 : reanalysis : Copernicus : C3S : C3S Energy : ICS
## Point of contact
### Individual name
#### Alberto Troccoli
### Electronic mail address
#### info@inclimateservice.com
### Organisation name
#### Inside Climate Service
### Role
#### Owner: Party that owns the resource
# Usage
## Access constraints
### Intellectual property rights: The IP of these data belongs to the EU Copernicus programme
## Use constraints
### Creative Commons
## Citation(s)
### Hersbach, H.; Bell, B.; Berrisford, P.; Hirahara, S.; Horanyi, A.; Munoz-Sabater, J.; Nicolas, J.; Peubey, C.; Radu, R.; Schepers, D.; et al. The ERA5 global reanalysis. Q. J. Roy. Meteor. Soc. 2020, 146, 1999-2049, doi:10.1002/qj.3803
## Temporal extent
## Begin date
### 2024-01-01-0000
## End date
### 2024-12-23-0000
## Temporal resolution
### 7 days
## Geographic bounding box
### westBoundLongitude -31.00
### eastBoundLongitude 45.00
### southBoundLatitude 18.00
### northBoundLatitude 75.00
## Spatial resolution
### Pan-European Bidding Zones Onshore
# Lineage Statement
## Original Data Source
## Statement
### The original data sources are ECMWF ERA5 Reanalysis (available at: https://cds.climate.copernicus.eu)
#
Date,AT00,BA00,GR00,HR00,LV00,PT00,SI00,SK00
2024-01-01,94304.242726438,13543.582444021617,1042.7405171084051,38194.47807830583,57394.28198312503,13443.6970052948,71113.32410631506,16676.42406464659
2024-01-08,79155.30604124909,12609.891378333044,1109.444490118247,34321.89095849591,54124.500515233965,15387.04063214433,57563.68054100683,15040.35868791612
2024-01-15,74876.36659985433,13476.931668786418,1072.5574941879263,38377.122458722544,56213.26468151561,19681.69883860324,59910.94344945627,14456.61466430823
2024-01-22,82692.00286612907,12211.06858570116,1171.602912740003,36017.71068649821,63578.002067893125,18192.140237563824,52431.456285176486,14623.108491579762
2024-01-29,78974.90712411283,11261.042820953942,1171.115045615651,34450.472961926986,72090.09170410165,15537.427588074246,48254.200799829385,15661.30757726362
2024-02-05,83560.89785809077,11401.079333921138,1055.283995128775,36775.36161746934,66633.70782681897,18748.45255027333,58318.32219745995,18519.719249605983
2024-02-12,80128.87732256117,10844.911785295864,1019.1931894617315,35261.91269955335,66522.38419227216,18541.11727270812,45046.82608329311,18461.86246670205
2024-02-19,84839.08217166927,11803.905166370294,959.9009749977788,35587.39696799287,86105.24455795968,19111.305041706248,51610.45401102289,18751.05930228377
2024-02-26,83899.94361314089,10666.214668577344,1014.6819970642596,34470.719738448905,135770.6516580511,17971.662370675524,49288.15209791161,17890.410012121727
2024-03-04,82141.80353920754,11340.66832893502,1099.8835724066157,35846.80226281645,120505.38182136632,20672.969467122293,53282.77213969437,16902.02396033403
2024-03-11,86699.38670367973,13465.939037824182,1099.6721173972824,38845.47462547759,114851.51259904842,18830.837905009907,57235.508574472326,16777.169772719713
2024-03-18,94424.0760616846,12516.158677597256,1111.8475009875335,37349.90428951758,96292.8355005497,16689.57470575308,58142.07520577448,16089.62154787867
2024-03-25,116614.36409038684,10942.0459321922,1065.3489498563663,36550.11001343646,91141.02340544004,20697.202552953248,65742.28275895337,14871.173478044257
2024-04-01,128432.62469975208,9655.549034600795,1026.495831669107,34624.38046615836,93846.11866386184,20439.754991448164,64887.82501015933,14527.248600305937
2024-04-08,137480.83554515985,8233.62960990623,887.7712502787643,30581.310740008,101214.94732232916,17979.055678928627,51695.89173720458,13566.365662864984
2024-04-15,116642.4826718346,8962.2470045263,1002.6009090383284,29954.991058960688,89744.21969414596,15951.674087759446,59326.964474903725,13582.22231660977
