# General
## Title
### Hydropower Inflow (Open-Loop Pumped Storage); data for ENTSO-E PECD Version 4.2; file version fv1
## Abstract
### ERA5
## Date
### 2025-06-17
## Date type
### Publication: Date identifies when the data was issued
## Unit
### MWh
## URL
### https://cds.climate.copernicus.eu/
## Data format
### CSV
## Keywords
### ERA5 : reanalysis : Copernicus : C3S : C3S Energy : ICS
## Point of contact
### Individual name
#### Alberto Troccoli
### Electronic mail address
#### info@inclimateservice.com
### Organisation name
#### Inside Climate Service
### Role
#### Owner: Party that owns the resource
# Usage
## Access constraints
### Intellectual property rights: The IP of these data belongs to the EU Copernicus programme
## Use constraints
### Creative Commons
## Citation(s)
### Hersbach, H.; Bell, B.; Berrisford, P.; Hirahara, S.; Horanyi, A.; Munoz-Sabater, J.; Nicolas, J.; Peubey, C.; Radu, R.; Schepers, D.; et al. The ERA5 global reanalysis. Q. J. Roy. Meteor. Soc. 2020, 146, 1999-2049, doi:10.1002/qj.3803
## Temporal extent
## Begin date
### 2024-01-01-0000
## End date
### 2024-12-23-0000
## Temporal resolution
### 7 days
## Geographic bounding box
### westBoundLongitude -31.00
### eastBoundLongitude 45.00
### southBoundLatitude 18.00
### northBoundLatitude 75.00
## Spatial resolution
### Pan-European Bidding Zones Onshore
# Lineage Statement
## Original Data Source
## Statement
### The original data sources are ECMWF ERA5 Reanalysis (available at: https://cds.climate.copernicus.eu)
#
Date,AT00,BA00,BG00,CH00,CZ00,DE00,ES00,FR00,GR00,HR00,ITCS,ITN1,ITSI,NOM1,NOS2,NOS3,PL00,PT00,RO00,SK00
2024-01-01,39714.57045041048,7546.845319634701,6608.334852845434,4088.309444591998,381.3765515994121,6459.621986465245,4681.124326035942,25636.12848451759,6900.880993437447,16905.33416753312,9835.099294691616,35593.62622196988,1.4635559636268365,708.8334711465551,6613.090715362468,3600.85842109482,5726.7997121492,133668.73945690607,24715.546956646347,2156.517946589255
2024-01-08,39337.39340781384,8250.097031963474,5334.907388801866,13292.223166709766,289.89066666666645,5940.973083698452,5076.82648258414,26113.4311458137,8629.398829379585,15053.726982941567,10031.538943136364,35981.89065109161,2.370954041548777,2263.093488582942,5487.901958918041,3302.787316554085,4856.988329956635,171504.04550389532,29264.06770070032,2170.455822423888
2024-01-15,35417.38020960324,10194.781392694063,5178.433779768031,22667.01118561264,296.14533649824807,5091.662937012912,6633.3388720820185,26121.393197599944,8092.002168013527,17133.686106963272,9882.984868060865,33607.918045361315,1.5018227390394354,815.6313464813408,5211.402642070399,3071.993819351625,4518.605131480822,328782.97510816465,25909.84568022413,2107.799626663697
2024-01-22,35595.17577072532,7604.328767123287,5045.674680095172,13404.650573939476,361.51713168305633,4460.58969894418,6348.954532874966,25479.666763692163,8778.735297742542,15577.254520226596,8495.376137169062,31335.793160606096,1.480618342947857,2318.5090743112737,11847.97013511298,5718.019646258361,5741.281694224764,179273.76645437846,24944.763750535825,2126.345831351201
2024-01-29,38074.476841472846,5125.464041095892,3895.392577412822,14982.787515942497,401.1077843336723,3801.1550835858616,5737.357568620081,25397.7245517021,9334.176630433136,15050.194924251184,7486.167573779038,25967.51217640247,2.2199805747323103,3607.570937750396,25621.17179546625,10808.913296162402,5059.71320671612,110009.3113411142,24435.36449060044,1898.0869663376327
2024-02-05,55607.06930300576,3316.844748858447,3689.355889453545,14921.277531867056,466.6213577483893,4417.567688863878,6501.198495094052,25427.98347908493,7687.861690036095,16079.162172129883,7523.261594669598,27136.93922665485,1.5416088089511486,1240.0611773221174,9513.948003499532,4009.88223638165,6674.173169201775,219288.2259229441,25044.39426982877,2231.871572721634
2024-02-12,52059.7831057967,1604.8087899543382,3402.683023020308,18910.78185833357,403.85569320879176,4098.433895563574,5888.909386655132,25459.98138343283,7195.918279397217,15563.189051440324,7507.62701689951,21802.94163321613,1.5130277378934418,1184.58666401486,9417.559223479117,3618.335948016853,5503.83140159998,141685.18150082015,23254.73940156038,1891.6295292687048
2024-02-19,54069.40473020999,2052.043949771689,3906.170671796647,22069.04156864828,301.91249643947083,4016.758036389605,6423.764380180314,25431.29798736976,7460.361063716874,15828.91591366189,7612.121389180421,22624.37573694387,2.064299550401132,2414.279437154514,19822.12576721531,9276.04360185687,5589.560114579894,119536.53685551204,24425.103709145977,1867.5751354588288
2024-02-26,58008.33647480103,1004.7471461187216,4108.714620120292,25956.690965271715,369.10519633774135,4010.661072952639,6879.17363991966,25498.365699002898,8608.422172614692,15390.279571301786,10462.707628673012,36736.89417932154,2.3780160075020227,3018.6649882137835,22482.470245944063,9555.8391972568,5272.1839049901055,129020.92073535976,25291.087137219663,1681.8857741154611
2024-03-04,54153.52230662922,1571.1409817351594,4511.136723294523,28704.39769494253,541.6670871481857,3836.101331271661,8389.617533517558,25498.365699002898,9703.425564866926,15724.193157524203,13018.10763346313,49631.2183150174,2.0247144342737644,2717.1950922730343,14632.015629019554,8742.651497206783,5002.422455965236,271698.26856221294,25219.816941441804,1503.844165872333
